Speed (mph),Time (M),Throttle (%),Cut-off (%),ITE (MotiveForce - lbf),IHP (hp),Drawbar TE (lbf),Drawbar HP (hp),Coupler Force (lbf),Loco & Tender Resistance (lbf),Train Resistance (lbf),Train Load (t-uk),Boiler Pressure (psi),Steam Chest Pressure (psi),Initial Pressure (psi),Cutoff Pressure (psi),Release Pressure (psi),Back Pressure (psi),MEP (psi),Superheat Temp (F),Steam consumption (lbs/h),Water consumption (lbs/h),Coal consumption (lbs/h),Cylinder Thermal Efficiency,Cumulative Steam (lbs),Cumulative Water (lbs),Cutoff pressure Ratio,HP MEP (psi),LPInitial Pressure (psi),LPCutoff Pressure (psi),LPRelease Pressure (psi),LPBack Pressure (psi),LPCutoff pressure Ratio,LP MEP (psi)
1.6.1,19,0,396721984,2501,199,39,12,64,0,015605,400,6955,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,20,0,400480632,2501,199,39,12,60,0,016649,400,6955,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,21,0,401735352,2502,200,39,12,60,0,016630,400,6955,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,22,0,401589216,2503,200,39,12,60,0,016671,400,6955,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,23,0,402527832,2503,200,39,12,60,0,016662,400,6955,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,24,0,402552408,2503,200,39,12,60,0,016663,400,6955,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,25,0,402585088,2503,200,39,12,60,0,016670,406,6961,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,26,0,402601472,2503,200,39,12,60,0,016645,406,6961,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,27,0,402626048,2503,200,39,12,60,0,016689,406,6961,2,1,97,1,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
1.6.1,28,0,402650624,2503,200,39,12,60,0,016674,406,6961,30,23,71,0,10:00:00,00,N,100,0,0,23338,0,00,0,0,0,0mph,90,0mph,0,0,0,15,null,null,11,125,False,650,650,0,null,null,null,0,00,1137,null,null,null
