time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,throttle,brake
0.1,e1,0.016969500000000002,0.33939,0.016969500000000002,0.0016498125000000002,1.0,0.0
0.2,e1,0.06787779406228857,0.6787758812457712,0.06787779406228857,0.006599229978278055,1.0,0.0
0.30000000000000004,e1,0.152724465706603,1.0181575516405175,0.152724465706603,0.014848211943697513,1.0,0.0
0.4,e1,0.2715090892432278,1.3575349190919779,0.2715090892432278,0.026396717009758257,1.0,0.0
0.5,e1,0.42423122977345307,1.6969078915125262,0.42423122977345307,0.041244702894641265,1.0,0.0
0.6,e1,0.6108904431900429,2.0362763768192713,0.6108904431900429,0.05939212642125417,1.0,0.0
0.7,e1,0.8314862761777143,2.3756402829341563,0.8314862761777143,0.08083894351727777,1.0,0.0
0.7999999999999999,e1,1.086018266213625,2.71499951778406,1.086018266213625,0.10558510921521355,1.0,0.0
0.8999999999999999,e1,1.3744859415678727,3.054353989300894,1.3744859415678727,0.13363057765243208,1.0,0.0
0.9999999999999999,e1,1.6968888213040028,3.3937036054217056,1.6968888213040028,0.1649753020712225,1.0,0.0
1.0999999999999999,e1,2.0532264152795268,3.733048274088776,2.0532264152795268,0.1996192348188429,1.0,0.0
1.2,e1,2.4434982241464516,4.07238790324972,2.4434982241464516,0.2375623273475717,1.0,0.0
1.3,e1,2.8677037393518168,4.411722400857587,2.8677037393518168,0.27880453021476004,1.0,0.0
1.4000000000000001,e1,3.325842443138244,4.75105167487096,3.325842443138244,0.32334579308288497,1.0,0.0
1.5000000000000002,e1,3.817913808544495,5.090375633254055,3.817913808544495,0.3711860647196038,1.0,0.0
1.6000000000000003,e1,4.343917299406039,5.429694183976821,4.343917299406039,0.42232529299780946,1.0,0.0
1.7000000000000004,e1,4.903852370355632,5.7690072350150405,4.903852370355632,0.47676342489568657,1.0,0.0
1.8000000000000005,e1,5.497708890557778,6.108123169027877,5.497708890557778,0.5344678814260114,1.0,0.0
1.9000000000000006,e1,6.125417374848712,6.446046516790792,6.125417374848712,0.5952547471511838,1.0,0.0
2.0000000000000004,e1,6.786858769729129,6.782781380817545,6.786858769729129,0.6590909774587945,1.0,0.0
2.1000000000000005,e1,7.481914431277946,7.1183318501588095,7.481914431277946,0.7259437990348541,1.0,0.0
2.2000000000000006,e1,8.210466123807972,7.45270200044172,8.210466123807972,0.7957807078473893,1.0,0.0
2.3000000000000007,e1,8.972396018525524,7.785895893909325,8.972396018525524,0.8685694671442065,1.0,0.0
2.400000000000001,e1,9.767586692193989,8.117917579459967,9.767586692193989,0.9442781054647248,1.0,0.0
2.500000000000001,e1,10.595921125801317,8.448771092686572,10.595921125801317,1.0228749146657874,1.0,0.0
2.600000000000001,e1,11.457282703231439,8.778460455915866,11.457282703231439,1.1043284479613558,1.0,0.0
2.700000000000001,e1,12.351555209939606,9.1069896782475,12.351555209939606,1.1886075179759936,1.0,0.0
2.800000000000001,e1,13.278622831631637,9.434362755593094,13.278622831631637,1.2756811948120483,1.0,0.0
2.9000000000000012,e1,14.238370152947052,9.76058367071521,14.238370152947052,1.3655188041304398,1.0,0.0
3.0000000000000013,e1,15.230682156146123,10.085656393266222,15.230682156146123,1.4580899252449615,1.0,0.0
3.1000000000000014,e1,16.25544421980079,10.409584879827117,16.25544421980079,1.5533643892300066,1.0,0.0
3.2000000000000015,e1,17.29919945937263,10.465519911609732,17.29919945937263,1.5727067077289665,0.2,0.0
3.3000000000000016,e1,18.34854618748261,10.521414650589858,18.34854618748261,1.5921412317639903,0.2,0.0
3.4000000000000017,e1,19.40348037617671,10.577269123292139,19.40348037617671,1.6116677734149705,0.2,0.0
3.5000000000000018,e1,20.463998000152692,10.633083356227512,20.463998000152692,1.6312861450680456,0.2,0.0
3.600000000000002,e1,21.530095036758727,10.688857375893214,21.530095036758727,1.650996159415158,0.2,0.0
3.700000000000002,e1,22.601767465992026,10.744591208772777,22.601767465992026,1.670797629453613,0.2,0.0
