time_s,edge_id,pos_on_edge_m,velocity_mps,odometer_m,cumulative_energy_kwh,regen_energy_kwh,fuel_consumption_l,passengers,throttle,brake,brake_f_head_n,brake_f_train_air_n,brake_f_tail_n,diesel_rpm_0,diesel_apparent_0,diesel_f_n_0,diesel_run_up_0,diesel_rpm_1,diesel_apparent_1,diesel_f_n_1,diesel_run_up_1
27.000000,e10783,415.524,8.3253,109.948,4.323263,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,50109.5,1.0000,1500.0,1.0000,82584.4,1.0000
28.000000,e10783,423.993,8.6132,118.417,4.630426,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,49355.7,1.0000,1500.0,1.0000,81209.5,1.0000
29.000000,e10783,432.748,8.8962,127.172,4.942908,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,48620.8,1.0000,1500.0,1.0000,79874.2,1.0000
30.000000,e10783,441.783,9.1745,136.207,5.260369,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,47906.6,1.0000,1500.0,1.0000,78580.6,1.0000
31.000000,e10783,451.095,9.4482,145.519,5.582444,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,47205.7,1.0000,1500.0,1.0000,77316.2,1.0000
32.000000,e10783,460.678,9.7173,155.102,5.908786,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,46517.9,1.0000,1500.0,1.0000,76080.5,1.0000
33.000000,e10783,470.527,9.9818,164.951,6.239063,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,45843.1,1.0000,1500.0,1.0000,74873.0,1.0000
34.000000,e10783,480.639,10.2418,175.063,6.572960,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,45180.9,1.0000,1500.0,1.0000,73692.8,1.0000
35.000000,e10783,491.009,10.4974,185.433,6.910176,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,44531.1,1.0000,1500.0,1.0000,72539.2,1.0000
36.000000,e10783,501.632,10.7486,196.056,7.250423,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,43893.7,1.0000,1500.0,1.0000,71411.9,1.0000
37.000000,e10783,512.504,10.9954,206.928,7.593431,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,43268.6,1.0000,1500.0,1.0000,70310.5,1.0000
38.000000,e10783,523.620,11.2383,218.044,7.938946,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,42655.2,1.0000,1500.0,1.0000,69233.7,1.0000
39.000000,e10783,534.978,11.4771,229.402,8.286722,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,42052.7,1.0000,1500.0,1.0000,68180.2,1.0000
40.000000,e10783,546.573,11.7128,240.997,8.637452,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,41569.8,1.0000,1500.0,1.0000,67324.8,1.0000
41.000000,e10783,558.402,11.9456,252.826,8.991266,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,41131.5,1.0000,1500.0,1.0000,66545.4,1.0000
42.000000,e10783,570.463,12.1756,264.887,9.347986,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,40699.2,1.0000,1500.0,1.0000,65779.4,1.0000
43.000000,e10783,582.752,12.4027,277.176,9.707440,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,40272.7,1.0000,1500.0,1.0000,65026.3,1.0000
44.000000,e10783,595.267,12.6269,289.691,10.069460,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,39852.3,1.0000,1500.0,1.0000,64286.3,1.0000
45.000000,e10783,608.004,12.8483,302.428,10.433888,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,39438.0,1.0000,1500.0,1.0000,63559.5,1.0000
46.000000,e10783,620.962,13.0668,315.386,10.800567,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,39029.4,1.0000,1500.0,1.0000,62845.0,1.0000
47.000000,e10783,634.136,13.2824,328.560,11.169346,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,38626.8,1.0000,1500.0,1.0000,62143.1,1.0000
48.000000,e10783,647.525,13.4950,341.949,11.540080,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,38230.3,1.0000,1500.0,1.0000,61454.1,1.0000
49.000000,e10783,661.125,13.7050,355.549,11.912633,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,37839.6,1.0000,1500.0,1.0000,60777.3,1.0000
50.000000,e10783,674.934,13.9126,369.358,12.286877,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,37454.4,1.0000,1500.0,1.0000,60112.0,1.0000
51.000000,e10783,688.949,14.1176,383.373,12.662682,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,37074.1,1.0000,1500.0,1.0000,59457.3,1.0000
52.000000,e10783,703.168,14.3202,397.592,13.039992,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,36705.4,1.0000,1500.0,1.0000,58823.7,1.0000
53.000000,e10783,717.589,14.5210,412.013,13.419385,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,36407.4,1.0000,1500.0,1.0000,58305.5,1.0000
54.000000,e10783,732.209,14.7198,426.633,13.800759,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,36112.3,1.0000,1500.0,1.0000,57794.0,1.0000
55.000000,e10783,747.027,14.9166,441.451,14.184016,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,35820.7,1.0000,1500.0,1.0000,57289.7,1.0000
56.000000,e10783,762.041,15.1113,456.465,14.569060,0.000000,0.0000,0,1.0000,0.0000,0.0,0.0,0.0,1500.0,1.0000,35532.3,1.0000,1500.0,1.0000,56792.6,1.0000
